Polymer Type,Unnamed: 1,Polymer,He,H2,O2,N2,CO2,CH4,Unnamed: 18,Unnamed: 19,Unnamed: 20,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4,log10_He_Bayesian,log10_H2_Bayesian,log10_O2_Bayesian,log10_N2_Bayesian,log10_CO2_Bayesian,log10_CH4_Bayesian,log10_He_Bayesian_std,log10_H2_Bayesian_std,log10_O2_Bayesian_std,log10_N2_Bayesian_std,log10_CH4_Bayesian_std,log10_CO2_Bayesian_std
Carbon Molecular Sieves,CMS,Carbonized polymer at 300C,62,,4.2,0.94,11.8,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.792391689,,0.62324929,-0.026872146,1.071882007,,1.792391689,1.699653523,0.62324929,-0.026872146,1.071882007,-0.306615078,0.086823922,0.098391682,0.071341056,0.082443271,0.135038547,0.143989928
Carbon Molecular Sieves,CMS,Carbonized polymer at 400C,42,,3.8,0.86,11.2,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.62324929,,0.579783597,-0.065501549,1.049218023,,1.62324929,1.565742855,0.579783597,-0.065501549,1.049218023,-0.225629562,0.086601265,0.09780145,0.071164495,0.082062956,0.134391246,0.143481777
Carbon Molecular Sieves,CMS,Carbonized polymer at 560C,158,,28,7.4,74,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.198657087,,1.447158031,0.86923172,1.86923172,,2.198657087,2.24429015,1.447158031,0.86923172,1.86923172,0.785393968,0.086582345,0.097705823,0.071219335,0.08200401,0.134396331,0.14365572
Carbon Molecular Sieves,CMS,Carbonized polymer at 580C,220,,44,12,98,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.643452676,1.079181246,1.991226076,,2.342422681,2.397234001,1.643452676,1.079181246,1.991226076,0.993248992,0.086465631,0.097481611,0.071194765,0.081886358,0.134182636,0.143730067
Carbon Molecular Sieves,CMS,Carbonized polymer at 600C,220,,56,17.4,118,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.748188027,1.240549248,2.071882007,,2.342422681,2.412701826,1.748188027,1.240549248,2.071882007,1.222577103,0.086200595,0.097023795,0.071024142,0.081675917,0.133676002,0.143405759
Carbon Molecular Sieves,CMS,Carbonized polymer at 625C,240,,64,19.4,136,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.380211242,,1.806179974,1.28780173,2.133538908,,2.380211242,2.462967395,1.806179974,1.28780173,2.133538908,1.276023112,0.086256077,0.097073428,0.071058667,0.081677084,0.13374403,0.14345739
Carbon Molecular Sieves,CMS,Carbonized polymer at 650C,220,,34,8.4,84,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.531478917,0.924279286,1.924279286,,2.342422681,2.379079199,1.531478917,0.924279286,1.924279286,0.768373641,0.086768273,0.098053233,0.071377117,0.082184436,0.134803342,0.144056884
Carbon Molecular Sieves,CMS,Carbonized polymer at 700C,36,,0.48,0.13,1.36,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.556302501,,-0.318758763,-0.886056648,0.133538908,,1.556302501,1.190551517,-0.318758763,-0.886056648,0.133538908,-1.586619334,0.087514465,0.100611563,0.071594705,0.084006809,0.13729269,0.145372595
Cellulosic Polymers,,Ethyl cellulose,,54.4,11.9,3.18,67.7,6.1,,Li 2001,http://www.sciencedirect.com/science/article/pii/S0032386101001215,,1.7355989,1.075546961,0.50242712,1.830588669,0.785329835,1.590613582,1.7355989,1.075546961,0.50242712,1.830588669,0.785329835,0.087075262,0.098130353,0.0713227,0.081986092,0.134481084,0.142981276
Cellulosic Polymers,,Ethyl cellulose,53,76,18,5,110,12,,Khan 2006,http://dx.doi.org/10.1021/ma060601w,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246,0.08734744,0.098946351,0.071718523,0.082215803,0.134799873,0.143743684
Cellulosic Polymers,,Cellulose acetate,,,0.8,,2.4,,,Allen 1977,http://www.sciencedirect.com/science/article/pii/S037673880083241X,,,-0.096910013,,0.380211242,,1.13366724,1.024007845,-0.096910013,-0.873345859,0.380211242,-1.063054893,0.086686267,0.097684238,0.071178788,0.081871552,0.134225266,0.143404989
Cellulosic Polymers,,Cellulose acetate,,14.9,1.05,0.231,5.96,0.205,,Li 1995,http://dx.doi.org/10.1002/app.1995.070580906,,1.173186268,0.021189299,-0.63638802,0.77524626,-0.688246139,1.183070926,1.173186268,0.021189299,-0.63638802,0.77524626,-0.688246139,0.087679417,0.099346517,0.071330988,0.08283632,0.13557623,0.143626572
Cellulosic Polymers,,Cellulose acetate (DS = 1.75),9.34,6.05,0.32,0.057,1.84,0.052,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835,0.970346876,0.781755375,-0.494850022,-1.244125144,0.264817823,-1.283996656,0.970346876,0.781755375,-0.494850022,-1.244125144,0.264817823,-1.283996656,0.087917521,0.101148799,0.072403717,0.083355651,0.136340451,0.145551791
Cellulosic Polymers,,Cellulose acetate (DS = 2.45),16,12,0.82,0.15,4.75,0.15,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835,1.204119983,1.079181246,-0.086186148,-0.823908741,0.67669361,-0.823908741,1.204119983,1.079181246,-0.086186148,-0.823908741,0.67669361,-0.823908741,0.087854053,0.100825845,0.072359179,0.083180255,0.136274274,0.145290244
Cellulosic Polymers,,Cellulose acetate (DS = 2.84),19.6,15.5,1.46,0.23,6.56,0.2,,Puleo 1989,http://www.sciencedirect.com/science/article/pii/S0376738800830835,1.292256071,1.190331698,0.164352856,-0.638272164,0.816903839,-0.698970004,1.292256071,1.190331698,0.164352856,-0.638272164,0.816903839,-0.698970004,0.087228028,0.099100318,0.071988349,0.082342592,0.135482898,0.14432796
Cellulosic Polymers,,Cellulose nitrate,,2,0.6,0.12,,,,Bixler 1971,http://books.google.com.au/books?id=Hc6ioeRc7p8C&lpg=PA305&ots=p1TsIRrlt7&dq=Bixler%20Sweeting%20polymer%20films&pg=PA305,,0.301029996,-0.22184875,-0.920818754,,,0.366099026,0.301029996,-0.22184875,-0.920818754,0.476244365,-0.581990611,0.086118719,0.095993302,0.071048644,0.080846301,0.133132767,0.141914923
Cellulosic Polymers,,Ethyl Cellulose 1 (49 wt% ethoxy),47,68,15,4.3,91,9.2,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.672097858,1.832508913,1.176091259,0.633468456,1.959041392,0.963787827,1.672097858,1.832508913,1.176091259,0.633468456,1.959041392,0.963787827,0.087264524,0.0986136,0.071463922,0.082191137,0.134690603,0.143316991
Cellulosic Polymers,EC-1 + 0.31 DS carbamate,,57,75,17,4.7,100,10.5,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.755874856,1.875061263,1.230448921,0.672097858,2,1.021189299,1.755874856,1.875061263,1.230448921,0.672097858,2,1.021189299,0.087290178,0.099118514,0.071841413,0.082292257,0.13490602,0.143996751
Cellulosic Polymers,,Ethyl Cellulose 2 (45.6 wt% ethoxy),41,59,13,3.5,80,7.5,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.612783857,1.770852012,1.113943352,0.544068044,1.903089987,0.875061263,1.612783857,1.770852012,1.113943352,0.544068044,1.903089987,0.875061263,0.087279705,0.098559319,0.071490449,0.082129634,0.134701488,0.143272464
Cellulosic Polymers,EC-2 + 0.5 DS carbamate,,51,71,15,3.9,89,8.4,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.707570176,1.851258349,1.176091259,0.591064607,1.949390007,0.924279286,1.707570176,1.851258349,1.176091259,0.591064607,1.949390007,0.924279286,0.08738456,0.09899079,0.071728149,0.082241988,0.134896581,0.143803672
Cellulosic Polymers,,Cellulose acetate 3 (36.7 wt% acetyl),15,12,0.67,0.14,4.6,0.15,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.176091259,1.079181246,-0.173925197,-0.853871964,0.662757832,-0.823908741,1.176091259,1.079181246,-0.173925197,-0.853871964,0.662757832,-0.823908741,0.088410065,0.101764342,0.072338063,0.083737124,0.136826991,0.145624025
Cellulosic Polymers,CA-3 + 0.54 DS carbamate,,27,26,3.1,0.66,19,0.83,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,1.431363764,1.414973348,0.491361694,-0.180456064,1.278753601,-0.080921908,1.431363764,1.414973348,0.491361694,-0.180456064,1.278753601,-0.080921908,0.087510561,0.099677092,0.071974587,0.082702616,0.135737014,0.144167424
Cellulosic Polymers,,Cellulose acetate 4 (26.9 wt% acetyl),8.4,5.7,0.28,0.044,1.7,0.045,,Khan 2008,http://www.sciencedirect.com/science/article/pii/S0376738808000227,0.924279286,0.755874856,-0.552841969,-1.356547324,0.230448921,-1.346787486,0.924279286,0.755874856,-0.552841969,-1.356547324,0.230448921,-1.346787486,0.088255269,0.101655439,0.072662292,0.083421663,0.136540992,0.146024928
