Polymer Type,Unnamed: 1,Polymer,He,H2,O2,N2,CO2,CH4,Unnamed: 18,Unnamed: 19,Unnamed: 20,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4,log10_He_Bayesian,log10_H2_Bayesian,log10_O2_Bayesian,log10_N2_Bayesian,log10_CO2_Bayesian,log10_CH4_Bayesian,log10_He_etree,log10_H2_etree,log10_O2_etree,log10_N2_etree,log10_CO2_etree,log10_CH4_etree
Carbon Molecular Sieves,CMS,Carbonized polymer at 300C,62,,4.2,0.94,11.8,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.792391689,,0.62324929,-0.026872146,1.071882007,,1.792391689,1.699653523,0.62324929,-0.026872146,1.071882007,-0.306615078,1.792391689,1.569233361,0.62324929,-0.026872146,1.071882007,-0.215192189
Carbon Molecular Sieves,CMS,Carbonized polymer at 400C,42,,3.8,0.86,11.2,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.62324929,,0.579783597,-0.065501549,1.049218023,,1.62324929,1.565742855,0.579783597,-0.065501549,1.049218023,-0.225629562,1.62324929,1.476503301,0.579783597,-0.065501549,1.049218023,-0.252149561
Carbon Molecular Sieves,CMS,Carbonized polymer at 560C,158,,28,7.4,74,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.198657087,,1.447158031,0.86923172,1.86923172,,2.198657087,2.24429015,1.447158031,0.86923172,1.86923172,0.785393968,2.198657087,2.191072178,1.447158031,0.86923172,1.86923172,0.727320144
Carbon Molecular Sieves,CMS,Carbonized polymer at 580C,220,,44,12,98,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.643452676,1.079181246,1.991226076,,2.342422681,2.397234001,1.643452676,1.079181246,1.991226076,0.993248992,2.342422681,2.202805886,1.643452676,1.079181246,1.991226076,1.103959344
Carbon Molecular Sieves,CMS,Carbonized polymer at 600C,220,,56,17.4,118,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.748188027,1.240549248,2.071882007,,2.342422681,2.412701826,1.748188027,1.240549248,2.071882007,1.222577103,2.342422681,2.212816049,1.748188027,1.240549248,2.071882007,1.104062755
Carbon Molecular Sieves,CMS,Carbonized polymer at 625C,240,,64,19.4,136,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.380211242,,1.806179974,1.28780173,2.133538908,,2.380211242,2.462967395,1.806179974,1.28780173,2.133538908,1.276023112,2.380211242,2.277818553,1.806179974,1.28780173,2.133538908,1.094761873
Carbon Molecular Sieves,CMS,Carbonized polymer at 650C,220,,34,8.4,84,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,2.342422681,,1.531478917,0.924279286,1.924279286,,2.342422681,2.379079199,1.531478917,0.924279286,1.924279286,0.768373641,2.342422681,2.172758507,1.531478917,0.924279286,1.924279286,0.80556724
Carbon Molecular Sieves,CMS,Carbonized polymer at 700C,36,,0.48,0.13,1.36,,,Okamoto,http://dx.doi.org/10.1021/ie990209p,1.556302501,,-0.318758763,-0.886056648,0.133538908,,1.556302501,1.190551517,-0.318758763,-0.886056648,0.133538908,-1.586619334,1.556302501,1.060549053,-0.318758763,-0.886056648,0.133538908,-1.266445396
Cellulosic Polymers,,Ethyl cellulose,,54.4,11.9,3.18,67.7,6.1,,Li 2001,http://www.sciencedirect.com/science/article/pii/S0032386101001215,,1.7355989,1.075546961,0.50242712,1.830588669,0.785329835,1.590613582,1.7355989,1.075546961,0.50242712,1.830588669,0.785329835,1.580075848,1.7355989,1.075546961,0.50242712,1.830588669,0.785329835
Cellulosic Polymers,,Ethyl cellulose,53,76,18,5,110,12,,Khan 2006,http://dx.doi.org/10.1021/ma060601w,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246
